id1,id2,score
24172,44767,0.9751870036125183
21230,32462,0.9751772284507751
46591,59352,0.9751437902450562
53206,58928,0.9750388860702515
61836,111496,0.9749941825866699
30306,59085,0.974915623664856
30306,84132,0.974915623664856
22449,58691,0.974852442741394
33353,56961,0.9747443199157715
43620,44766,0.9747189283370972
24257,47762,0.9747024774551392
32347,57711,0.9745615124702454
43163,103926,0.9745000600814819
65145,93688,0.9744623303413391
51471,115660,0.9744584560394287
22465,34475,0.9743795394897461
59292,117046,0.974239706993103
12793,23278,0.9742276072502136
62946,83091,0.9741790294647217
3686,115953,0.9741635322570801
20993,59954,0.9739975929260254
81604,115453,0.9739155769348145
30637,43246,0.973914623260498
20914,45484,0.9738790988922119
21913,53050,0.973805844783783
20205,30199,0.9737142324447632
26785,103346,0.9736586213111877
22193,56454,0.9736552238464355
22139,56178,0.9736155271530151
43734,84073,0.9735089540481567
21649,56595,0.9734994173049927
156,30234,0.9734905958175659
45066,57954,0.9734677672386169
34665,97632,0.9734479188919067
52988,59306,0.9733913540840149
31716,51291,0.9733798503875732
8369,57968,0.9733635187149048
4159,53957,0.9732538461685181
22649,84073,0.9731433391571045
20568,31025,0.9730786085128784
33531,46245,0.9728792309761047
30319,55280,0.9726471304893494
85786,115840,0.9726150035858154
20761,50956,0.9726132154464722
45812,51604,0.9725817441940308
32822,52284,0.9725672006607056
17101,104123,0.9725457429885864
9901,57385,0.9723652601242065
7249,96471,0.9723172187805176
11431,43116,0.9722714424133301
32747,41834,0.972267746925354
12492,81030,0.9721518754959106
33581,46740,0.9720913171768188
33725,46851,0.9720647931098938
30113,50034,0.9720584154129028
64528,99242,0.9719251394271851
11393,56648,0.9718271493911743
82171,99076,0.9718190431594849
156,11847,0.9715961813926697
24180,47848,0.9715893268585205
46242,60039,0.971542239189148
34138,47195,0.9715313911437988
53018,59299,0.9714769124984741
10906,80377,0.9714605212211609
96634,111009,0.9713811874389648
39878,91925,0.971307635307312
32968,52824,0.9712765216827393
46870,116290,0.9711644649505615
52857,110897,0.9711486101150513
76970,92135,0.971113920211792
10970,57443,0.9707748293876648
32249,56633,0.970760703086853
65064,94477,0.9707106351852417
32427,59963,0.9706829190254211
80953,94436,0.970657229423523
21321,47513,0.9706206917762756
27206,44886,0.9705867767333984
27536,110879,0.9705843329429626
42437,51203,0.9704238176345825
64616,97936,0.9703997373580933
2884,92803,0.9703716039657593
22441,51046,0.9703682065010071
46421,52452,0.9702563285827637
28563,112735,0.9700891971588135
76545,99523,0.9699088335037231
31702,51279,0.9698554277420044
10032,56805,0.9697834849357605
53936,115997,0.9697694778442383
26951,58967,0.9697102308273315
988,117700,0.9696035385131836
21073,42197,0.9695892333984375
64759,93043,0.9695854187011719
4953,91180,0.969572126865387
64965,93346,0.9693249464035034
62160,111237,0.9691684246063232
8816,92712,0.9691357612609863
45028,84976,0.9691155552864075
844,8263,0.969089150428772
53580,110979,0.9690253734588623
30054,43684,0.9690219759941101
51500,116169,0.968984067440033
32494,57745,0.9689469933509827
42198,79545,0.9689041376113892
45061,55536,0.968822717666626
62409,86895,0.9686998128890991
66252,99479,0.9686733484268188
79038,88403,0.968666672706604
12073,117420,0.9686263799667358
86463,117100,0.9686232805252075
64730,115833,0.9686044454574585
32158,88646,0.9685900211334229
12073,111831,0.9685648083686829
12637,23363,0.9685096740722656
10146,111745,0.9683659076690674
57729,63109,0.9682396650314331
20273,54085,0.968233585357666
44812,83970,0.9681117534637451
30645,112107,0.9680867195129395
9875,51191,0.9679304361343384
32368,58061,0.9678366184234619
76555,95879,0.9677373170852661
32303,56735,0.9676679968833923
64542,94426,0.9676041603088379
50549,82783,0.9675577282905579
32727,58179,0.9675254821777344
13225,49939,0.9675182104110718
22226,32325,0.9674639701843262
21979,32982,0.9674457311630249
47084,116054,0.9672936201095581
21028,58723,0.9671957492828369
62667,82765,0.9670745134353638
21979,52652,0.9670737981796265
27333,30956,0.9670047760009766
82668,111011,0.9669851660728455
27249,30706,0.966870129108429
20955,51319,0.9667574167251587
23644,60915,0.9666454792022705
4953,116138,0.9665725231170654
11779,43223,0.9665693640708923
33446,53320,0.9664830565452576
60868,84042,0.9664809703826904
51297,111578,0.9664769172668457
52128,58054,0.9663079380989075
22065,46565,0.9662749767303467
5140,91313,0.9662686586380005
3901,53968,0.9662436246871948
53752,59085,0.9661949872970581
53752,84132,0.9661949872970581
33716,54634,0.9661722183227539
99804,111244,0.9661617279052734
34061,115984,0.9661339521408081
81465,112874,0.9661077857017517
8579,62137,0.9660965204238892
5683,90680,0.9660165309906006
29003,94166,0.9659572839736938
51241,117383,0.9659449458122253
77036,91997,0.9659299254417419
32410,51729,0.9658483862876892
59112,117038,0.9658384919166565
41181,91267,0.9658138751983643
41854,88307,0.9657056331634521
20824,51049,0.9656647443771362
65560,94468,0.965662956237793
91180,116138,0.9656286835670471
7080,52694,0.9655393362045288
7520,88713,0.9655386209487915
29990,60600,0.9654999375343323
27100,83652,0.9654925465583801
81633,84760,0.96546471118927
110799,115924,0.9654583930969238
20246,56272,0.9654574394226074
5424,98378,0.9654060006141663
64649,97470,0.9653358459472656
80991,88471,0.9652770757675171
63632,91362,0.9651999473571777
11249,80560,0.9651825428009033
9806,79859,0.9651468992233276
33774,46894,0.9651217460632324
47287,92122,0.9650596976280212
8311,60008,0.9649935960769653
20502,117331,0.9649460315704346
988,42378,0.9649264812469482
20171,30119,0.9649072885513306
26270,51636,0.9648945331573486
13069,43728,0.9647917747497559
917,86414,0.9647443294525146
6832,56910,0.9646794199943542
51356,111312,0.9646466970443726
43593,83786,0.9646413326263428
53064,57916,0.964572548866272
15900,111520,0.9645540714263916
32747,52020,0.9645085334777832
79014,88469,0.9644882678985596
32139,57768,0.964465320110321
51279,56742,0.9644306898117065
7020,101108,0.9644260406494141
11020,22582,0.9643967151641846
51939,58316,0.9643268585205078
59308,116834,0.9643261432647705
52950,106455,0.964300274848938
57813,78530,0.9642190933227539
51859,56083,0.9641194343566895
23685,85927,0.964118480682373
30234,43452,0.9640993475914001
7274,41477,0.9640437364578247
57556,116631,0.9640127420425415
8801,32311,0.9638278484344482
64306,88030,0.9638177156448364
9515,59092,0.9637753963470459
22193,32437,0.9637320041656494
64296,90682,0.9637320041656494
76738,85772,0.9636785984039307
1328,11014,0.9636507034301758
53035,58420,0.9636116027832031
52883,57744,0.9635963439941406
7038,52743,0.9635543823242188
32401,55412,0.963546872138977
3612,116085,0.9635391235351562
64077,92001,0.9635002613067627
58999,88174,0.9634965062141418
51104,78512,0.9634159803390503
30021,56568,0.9634121060371399
79016,82606,0.9633826613426208
